byteAve,dIpEn,dPortEn,flowCount,packSize,sIpEn,sPortEn,timeNum
347605,4.06,0.33,655,406,8.96,9.35,1
223459,4.1,0.36,643,253,8.91,9.33,2
324558,4.02,0.47,673,385,8.94,9.39,3
286269,4.04,0.3,658,323,8.97,9.34,4
307360,4.11,0.39,655,346,8.9,9.3,5
276201,4.09,0.47,663,314,8.88,9.33,6
301203,4.09,0.45,694,340,8.9,9.41,7
294643,3.99,0.26,649,332,9.03,9.33,8
256001,4.0,0.31,572,289,8.8,9.15,9
255643,4.11,0.44,723,297,8.95,9.48,10
304849,4.1,0.35,707,347,8.97,9.42,11
297260,4.02,0.36,685,340,8.99,9.36,12
252484,4.02,0.36,648,283,8.96,9.28,13
256490,4.04,0.91,799,286,9.11,8.61,14
261850,4.05,0.33,647,317,8.94,9.34,15
290367,4.06,0.83,756,336,9.05,8.65,16
278343,4.04,0.5,685,317,9.06,9.26,17
237048,4.01,0.37,631,274,8.83,9.3,18
337481,4.01,0.36,621,374,8.85,9.28,19
306352,4.05,0.4,731,342,9.02,9.51,20
267429,4.05,0.43,686,313,8.95,9.4,21
232631,4.11,0.69,738,260,9.14,9.09,22
293729,4.0,0.32,650,335,8.94,9.31,23
275490,4.02,0.36,640,308,8.92,9.32,24
266595,3.95,0.34,670,298,8.93,9.36,25
254648,4.06,0.39,651,288,8.88,9.34,26
347297,4.03,0.32,691,384,8.94,9.43,27
247749,4.13,0.7,744,294,8.94,9.12,28
246390,4.06,0.41,659,275,8.89,9.36,29
262108,4.0,0.4,665,293,9.0,9.36,30
281073,4.07,0.31,692,317,9.04,9.44,31
16617,2.96,9.72,12142,19,0.79,2.06,32
4221,2.77,10.82,22914,5,0.41,1.74,33
11675,2.77,11.03,26594,14,0.41,1.74,34
7791,2.81,10.84,22157,9,0.49,1.9,35
7742,2.71,11.96,26113,9,0.4,1.98,36
8304,2.78,11.28,21537,10,0.46,1.92,37
8247,2.77,11.45,26883,10,0.4,1.85,38
8163,2.78,11.43,22691,10,0.46,1.91,39
5145,2.77,11.35,24275,6,0.42,1.87,40
8915,2.77,11.5,24745,11,0.4,1.85,41
7661,2.79,11.32,22446,9,0.43,1.89,42
6869,2.79,11.48,26331,8,0.45,1.88,43
9596,2.81,11.29,22123,11,0.5,1.96,44
6431,2.76,11.43,26754,8,0.41,1.87,45
7744,2.82,11.13,19475,9,0.53,1.99,46
8954,2.8,11.23,22517,10,0.48,1.92,47
8157,2.78,11.32,23802,10,0.45,1.91,48
6138,2.77,11.42,25087,7,0.42,1.88,49
9834,2.89,10.95,15297,11,0.68,2.13,50
8850,2.88,11.08,16502,11,0.62,2.06,51
7917,2.79,11.31,23650,9,0.46,1.97,52
7918,2.57,12.82,24422,10,0.44,1.94,53
8141,1.97,13.4,22932,9,0.48,1.65,54
11982,2.21,12.77,18964,14,0.57,1.95,55
4571,2.78,11.73,25466,6,0.41,1.93,56
1551,2.76,11.71,23114,2,0.39,1.92,57
11699,2.8,11.69,25244,14,0.47,2.0,58
8109,2.78,11.83,23746,10,0.45,1.96,59
11486,2.85,11.36,17726,14,0.56,2.07,60
6555,2.77,11.84,26842,8,0.41,1.93,61
8031,2.81,11.5,20592,10,0.51,2.04,62
8621,2.76,11.85,27355,10,0.4,1.93,63
7926,2.81,11.69,20767,9,0.5,2.02,64
7767,2.77,11.85,26942,9,0.41,1.94,65
7074,2.8,11.83,21951,9,0.47,1.99,66
8945,2.79,11.68,22309,11,0.46,1.99,67
9345,2.86,11.37,17263,11,0.64,2.16,68
7123,2.78,11.85,24778,8,0.45,1.97,69
6278,2.77,11.84,23920,8,0.45,1.99,70
14153,2.79,11.44,18092,17,0.57,2.11,71
