byteCount,connetCount,dIpEn,dPortEn,packCount,sIpEn,sPortEn,timeNum
16586581,76,3.66,0.18,18670,6.22,6.25,1
165552558,652,4.06,0.41,185085,8.88,9.34,2
164672572,660,3.99,0.41,184664,9.01,9.35,3
204101226,685,4.07,0.3,230170,9.0,9.42,4
201663109,11476,2.98,9.62,234952,0.84,2.11,5
100024576,22544,2.78,10.8,135199,0.43,1.76,6
298994479,26739,2.77,11.04,361832,0.41,1.74,7
180909945,22028,2.81,10.84,222697,0.49,1.88,8
199006084,25888,2.71,11.97,250061,0.4,1.99,9
167451335,21945,2.78,11.29,207063,0.45,1.92,10
236345312,26607,2.78,11.44,292375,0.41,1.86,11
176973035,22958,2.78,11.44,219059,0.44,1.89,12
136356507,24154,2.78,11.35,175681,0.43,1.88,13
209182657,24831,2.77,11.49,260087,0.4,1.85,14
180263431,22348,2.79,11.31,220968,0.45,1.9,15
180890607,26499,2.78,11.49,224958,0.44,1.87,16
192985521,22020,2.81,11.3,234400,0.5,1.96,17
184945301,26674,2.76,11.43,230218,0.41,1.87,18
157247708,19759,2.82,11.14,193878,0.53,1.99,19
201526814,22396,2.8,11.23,244003,0.47,1.92,20
197395067,23681,2.78,11.31,246142,0.46,1.92,21
154010380,25125,2.77,11.42,195361,0.43,1.88,22
144134820,15840,2.88,10.99,175792,0.66,2.11,23
149175861,16045,2.88,11.06,186658,0.63,2.07,24
190413892,23687,2.79,11.33,234271,0.46,1.96,25
182103170,24375,2.59,12.74,239281,0.44,1.96,26
194787620,23082,2.0,13.38,237736,0.48,1.67,27
214313281,18823,2.12,12.88,255362,0.57,1.9,28
132439533,25169,2.77,11.73,172616,0.41,1.93,29
35977317,23444,2.76,11.71,65663,0.4,1.93,30
295350850,24967,2.8,11.68,356916,0.48,2.0,31
192548502,24016,2.78,11.83,238412,0.44,1.94,32
195231319,17788,2.85,11.37,245835,0.57,2.08,33
174897910,26593,2.77,11.83,220663,0.41,1.93,34
162153865,20876,2.81,11.53,214857,0.49,2.02,35
245335481,26749,2.77,11.83,297935,0.41,1.94,36
153356731,21384,2.81,11.73,191432,0.48,2.0,37
206111785,26364,2.78,11.83,254203,0.43,1.95,38
166530485,22550,2.8,11.85,224641,0.46,1.97,39
205888737,22179,2.79,11.67,254264,0.47,1.99,40
158215475,17453,2.86,11.38,193911,0.63,2.16,41
176446785,24096,2.79,11.81,219844,0.46,1.98,42
145286153,24607,2.76,11.87,199010,0.45,1.98,43
244879383,17785,2.81,11.42,301114,0.59,2.12,44
186860205,12764,1.6,10.87,228100,0.82,2.38,45
178309624,731,4.28,0.91,199717,8.79,9.47,46
234520275,731,4.24,1.05,260715,8.68,9.44,47
170570385,762,4.26,1.15,191928,8.62,9.56,48
